player_name,player_key,datasets,draft_year_min,draft_year_max,source_row_count,match_method,nba_person_id,nba_full_name,nba_is_active,headshot_url,local_file,download_status,http_status,content_type
David Johnson,david johnson,historical,2021,2021,1,exact_full_name,77139.0,David Johnson,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77139.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\david_johnson__77139.png,downloaded,200.0,image/png
Davion Mitchell,davion mitchell,historical,2021,2021,1,exact_full_name,1630558.0,Davion Mitchell,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630558.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\davion_mitchell__1630558.png,downloaded,200.0,image/png
Day'Ron Sharpe,day ron sharpe,historical,2021,2021,1,exact_full_name,1630549.0,Day'Ron Sharpe,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630549.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\day_ron_sharpe__1630549.png,downloaded,200.0,image/png
Evan Mobley,evan mobley,historical,2021,2021,1,exact_full_name,1630596.0,Evan Mobley,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630596.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\evan_mobley__1630596.png,downloaded,200.0,image/png
Filip Petrusev,filip petrusev,historical,2021,2021,1,exact_full_name,1630196.0,Filip Petrusev,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630196.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\filip_petrusev__1630196.png,downloaded,200.0,image/png
Franz Wagner,franz wagner,historical,2021,2021,1,exact_full_name,1630532.0,Franz Wagner,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\franz_wagner__1630532.png,downloaded,200.0,image/png
Greg Brown III,greg brown,historical,2021,2021,1,exact_full_name,1630535.0,Greg Brown III,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630535.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\greg_brown_iii__1630535.png,downloaded,200.0,image/png
Herbert Jones,herbert jones,historical,2021,2021,1,exact_full_name,1630529.0,Herbert Jones,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630529.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\herbert_jones__1630529.png,downloaded,200.0,image/png
Isaiah Jackson,isaiah jackson,historical,2021,2021,1,exact_full_name,1630543.0,Isaiah Jackson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630543.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\isaiah_jackson__1630543.png,downloaded,200.0,image/png
Isaiah Livers,isaiah livers,historical,2021,2021,1,exact_full_name,1630587.0,Isaiah Livers,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630587.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\isaiah_livers__1630587.png,downloaded,200.0,image/png
